XCS Name,DES Image,XMM Image,XMM ObsId,Flag
XMMXCSJ003346.3-431729.3,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/desdm_xcs_xcontours_XMMXCSJ003346.3-431729.3.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148961301-8.4429146--43.291477.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148961301.jpeg,0
XMMXCSJ003545.5-431758.6,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/desdm_xcs_xcontours_XMMXCSJ003545.5-431758.6.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960101-8.9397306--43.299624.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960101.jpeg,0
XMMXCSJ003548.1-432232.8,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/desdm_xcs_xcontours_XMMXCSJ003548.1-432232.8.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960101-8.9503343--43.375779.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960101.jpeg,0
XMMXCSJ003640.2-434256.0,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/desdm_xcs_xcontours_XMMXCSJ003640.2-434256.0.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960801-9.1674762--43.715559.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0148960801.jpeg,0
XMMXCSJ003659.25-431827.1,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/optical/desdm_xcs_xcontours_XMMXCSJ003659.25-431827.1.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0148960101-9.2468725--43.307529.png,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0148960101.png,0
XMMXCSJ021442.42-043304.7,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/optical/desdm_xcs_xcontours_XMMXCSJ021442.42-043304.7.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0553911401-33.676733--4.5513111.png,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0553911401.png,0
XMMXCSJ021452.68-042331.7,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/optical/desdm_xcs_xcontours_XMMXCSJ021452.68-042331.7.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0553911401-33.719488--4.3921330.png,http://astronomy.sussex.ac.uk/~pr83/des_sv/not_done/xray/0553911401.png,0
XMMXCSJ021504.7-055830.0,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/desdm_xcs_xcontours_XMMXCSJ021504.7-055830.0.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0677670101-prep_mosaic_002-33.769543--5.9750094.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0677670101-prep_mosaic_002.jpeg,0
XMMXCSJ021505.93-055814.5,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/optical/all_jpegs_mosaic/desdm_xcs_xcontours_XMMXCSJ021505.93-055814.5.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0677660101-33.774694--5.9706981.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0677660101.jpeg,0
XMMXCSJ021524.23-034318.2,http://astronomy.sussex.ac.uk/~pr83/des_sv/des_images/all_jpegs/desdm_xcs_xcontours_XMMXCSJ021524.23-034318.2.jpg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0673110201-33.850952--3.7217177.jpeg,http://astronomy.sussex.ac.uk/~pr83/des_sv/images/xray/0673110201.jpeg,0
